Transecta-punto,Fecha_muestreo,Fecha,Transecta,Bosque,Pastoreo,Repet,puntotransecta,CA_Broza,CA_SD,CA_Mono,CA_Dico,CA_Crasa,CB_Broza,CB_SD,CB_Mono,CB_Dico,CB_Crasa,Hum_vol,mm,DAP,Hum_grav,Cob,FAPARdir,FAPARdif,IPAR,IPAR_COB
2018-02AR CL 391,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,1,23%,5%,68%,5%,0%,40%,56%,4%,0%,0%,16.7%,25,1.0969,15.2%,0,0.36,0.42,0.35,1.34586466165414
2018-02AR CL 392,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,2,0%,25%,25%,50%,0%,0%,86%,14%,0%,0%,21.1%,32,1.0969,19.2%,0.002,0.36,0.42,0.36,1.35255804181111
2018-02AR CL 393,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,3,5%,24%,24%,48%,0%,0%,72%,24%,4%,0%,16.6%,25,1.0969,15.1%,0.128,0.36,0.42,0.32,1.16981282994721
2018-02AR CL 394,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,4,6%,59%,29%,6%,0%,0%,96%,4%,0%,0%,8.5%,13,1.0969,7.7%,0,0.36,0.42,0.48,1.48496240601504
2018-02AR CL 395,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,5,31%,31%,6%,31%,0%,14%,60%,6%,20%,0%,16.1%,24,1.0969,14.7%,0.078,0.36,0.42,0.57,1.45423856487229
2018-02AR CL 396,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,6,48%,24%,5%,24%,0%,40%,52%,0%,8%,0%,7.6%,11,1.0969,6.9%,0.33,0.36,0.42,0.53,1.15043247215784
2018-02AR CL 397,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,7,5%,24%,48%,24%,0%,12%,70%,2%,16%,0%,11.8%,18,1.0969,10.8%,0.148,0.36,0.42,0.44,1.25094967383616
2018-02AR CL 398,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,8,20%,40%,20%,20%,0%,6%,84%,8%,2%,0%,10.6%,16,1.0969,9.7%,0.62,0.36,0.42,0.11,0.688062749466258
2018-02AR CL 399,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,9,6%,31%,31%,31%,0%,0%,78%,4%,18%,0%,16.4%,25,1.0969,15.0%,0.377,0.36,0.42,0.30,0.941897226726948
2018-02AR CL 3910,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,10,0%,50%,25%,25%,0%,0%,76%,16%,8%,0%,20.2%,30,1.0969,18.4%,0.332,0.36,0.42,0.52,1.14306035358667
2018-02AR CL 3911,01/30/2018,2018-02,AR CL 39,Arbustal,Clausura,1,11,24%,24%,5%,48%,0%,44%,24%,6%,26%,0%,10.8%,16,1.0969,9.8%,0.84,0.36,0.42,0.49,0.80908793723439
2018-02AR CL 401,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,1,4%,58%,19%,19%,0%,0%,82%,18%,0%,0%,10.5%,16,1.0969,9.6%,0.033,0.65,0.67,0.23,1.19005160529591
2018-02AR CL 402,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,2,24%,48%,5%,24%,0%,12%,78%,0%,10%,0%,10.9%,16,1.0969,9.9%,0.726,0.65,0.67,0.60,0.925691981982767
2018-02AR CL 403,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,3,24%,48%,24%,5%,0%,28%,60%,10%,2%,0%,19.9%,30,1.0969,18.1%,0.593,0.65,0.67,0.66,1.03955746239422
2018-02AR CL 404,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,4,5%,90%,0%,5%,0%,16%,82%,0%,2%,0%,13.7%,21,1.0969,12.5%,0.705,0.65,0.67,0.71,1.00544616673649
2018-02AR CL 405,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,5,4%,58%,19%,19%,0%,20%,74%,0%,6%,0%,16.3%,24,1.0969,14.9%,0.43,0.65,0.67,0.66,1.16068142383932
2018-02AR CL 406,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,6,38%,19%,38%,4%,0%,46%,36%,18%,0%,0%,13.1%,20,1.0969,11.9%,0.802,0.65,0.67,0.64,0.912728547228226
2018-02AR CL 407,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,7,24%,48%,24%,5%,0%,26%,62%,12%,0%,0%,13.9%,21,1.0969,12.7%,0.942,0.65,0.67,0.62,0.833378502899886
2018-02AR CL 408,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,8,4%,58%,19%,19%,0%,28%,56%,0%,16%,0%,18.8%,28,1.0969,17.1%,0.123,0.65,0.67,0.67,1.48969931507308
2018-02AR CL 409,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,9,0%,71%,24%,5%,0%,0%,94%,4%,2%,0%,15.6%,23,1.0969,14.2%,0.727,0.65,0.67,0.54,0.893591825539529
2018-02AR CL 4010,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,10,0%,24%,71%,5%,0%,0%,82%,12%,6%,0%,14.7%,22,1.0969,13.4%,0.982,0.65,0.67,0.45,0.729308134109239
2018-02AR CL 4011,01/30/2018,2018-02,AR CL 40,Arbustal,Clausura,2,11,5%,68%,5%,23%,0%,8%,92%,0%,0%,0%,12.7%,19,1.0969,11.6%,0.983,0.65,0.67,0.60,0.807616620977557
2018-02AR CO 11,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,1,5%,68%,5%,23%,0%,0%,98%,0%,2%,0%,17.7%,27,1.2156,14.6%,0,0.33,0.37,0.04,1.04340731070496
2018-02AR CO 12,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,2,4%,56%,4%,37%,0%,10%,84%,0%,6%,0%,15.4%,23,1.2156,12.7%,0.137,0.33,0.37,0.29,1.13440389830781
2018-02AR CO 13,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,3,0%,76%,4%,20%,0%,0%,92%,0%,8%,0%,16.1%,24,1.2156,13.2%,0.498,0.33,0.37,0.60,1.06952873631334
2018-02AR CO 14,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,4,79%,0%,0%,21%,0%,82%,14%,0%,4%,0%,24.8%,37,1.2156,20.4%,0.785,0.33,0.37,0.62,0.909632782616963
2018-02AR CO 15,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,5,54%,3%,0%,43%,0%,48%,50%,0%,2%,0%,12.4%,19,1.2156,10.2%,0.382,0.33,0.37,0.13,0.816163051240681
2018-02AR CO 16,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,6,0%,60%,20%,20%,0%,0%,74%,8%,18%,0%,22.2%,33,1.2156,18.3%,0.256,0.33,0.37,0.15,0.918047679233673
2018-02AR CO 17,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,7,20%,40%,0%,40%,0%,28%,66%,6%,0%,0%,17.9%,27,1.2156,14.7%,0,0.33,0.37,0.01,1.01142297650131
2018-02AR CO 18,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,8,6%,59%,29%,6%,0%,6%,92%,0%,2%,0%,16.9%,25,1.2156,13.9%,0,0.33,0.37,0.00,1.00065274151436
2018-02AR CO 19,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,9,0%,0%,100%,0%,0%,100%,0%,100%,0%,0%,18.3%,27,1.2156,15.1%,0,0.33,0.37,0.00,1.00130548302872
2018-02AR CO 110,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,10,24%,5%,48%,24%,0%,84%,0%,6%,10%,0%,12.3%,18,1.2156,10.1%,0.133,0.33,0.37,0.20,1.05746429797737
2018-02AR CO 111,01/30/2018,2018-02,AR CO 1,Arbustal,Continuo,1,11,5%,86%,5%,5%,0%,6%,92%,2%,0%,0%,13.5%,20,1.2156,11.1%,0.784,0.33,0.37,0.50,0.843185437131918
2018-02AR CO 21,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,1,0%,50%,25%,25%,0%,0%,82%,8%,10%,0%,26.2%,39,1.2156,21.6%,0.423,0.23,0.26,0.64,1.15513879714609
2018-02AR CO 22,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,2,0%,60%,20%,20%,0%,0%,82%,10%,8%,0%,23.9%,36,1.2156,19.7%,0.214,0.23,0.26,0.04,0.857793169086915
2018-02AR CO 23,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,3,4%,58%,19%,19%,0%,0%,88%,0%,12%,0%,23.0%,35,1.2156,18.9%,0,0.23,0.26,0.02,1.01867911941294
2018-02AR CO 24,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,4,0%,71%,5%,24%,0%,0%,100%,0%,0%,0%,24.4%,37,1.2156,20.1%,0.112,0.23,0.26,0.24,1.11585181487898
2018-02AR CO 25,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,5,0%,71%,5%,24%,0%,0%,92%,0%,8%,0%,22.2%,33,1.2156,18.3%,0.053,0.23,0.26,0.01,0.958853860788484
2018-02AR CO 26,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,6,5%,86%,5%,5%,0%,0%,64%,10%,26%,0%,21.3%,32,1.2156,17.5%,0,0.23,0.26,0.00,1.00066711140761
2018-02AR CO 27,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,7,0%,50%,25%,25%,0%,0%,78%,8%,14%,0%,25.8%,39,1.2156,21.2%,0.001,0.23,0.26,0.47,1.46651214029466
2018-02AR CO 28,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,8,5%,48%,24%,24%,0%,0%,84%,6%,10%,0%,25.7%,39,1.2156,21.1%,0.688,0.23,0.26,0.87,1.10638529952038
2018-02AR CO 29,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,9,4%,20%,0%,76%,0%,0%,96%,0%,4%,0%,23.4%,35,1.2156,19.2%,0.049,0.23,0.26,0.18,1.12817505919103
2018-02AR CO 210,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,10,0%,48%,5%,48%,0%,0%,92%,4%,4%,0%,25.2%,38,1.2156,20.7%,0.014,0.23,0.26,0.06,1.04244381198248
2018-02AR CO 211,01/30/2018,2018-02,AR CO 2,Arbustal,Continuo,2,11,5%,45%,5%,45%,0%,0%,82%,0%,18%,0%,22.4%,34,1.2156,18.4%,0.619,0.23,0.26,0.49,0.920111039643065
2018-02BA CL 7(P1)1,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,1,75%,0%,25%,0%,0%,94%,0%,6%,0%,0%,6.5%,10,0.9445,6.9%,0.425,0.63,0.68,0.94,1.36253715940422
2018-02BA CL 7(P1)2,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,2,60%,20%,20%,0%,0%,58%,36%,0%,6%,0%,7.9%,12,0.9445,8.4%,0.586,0.63,0.68,0.87,1.180489511496
2018-02BA CL 7(P1)3,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,3,48%,24%,24%,5%,0%,56%,32%,12%,0%,0%,7.1%,11,0.9445,7.5%,0.467,0.63,0.68,0.78,1.21400695308493
2018-02BA CL 7(P1)4,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,4,48%,0%,48%,5%,0%,68%,24%,8%,0%,0%,6.4%,10,0.9445,6.8%,0.721,0.63,0.68,0.59,0.922856068633148
2018-02BA CL 7(P1)5,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,5,20%,0%,60%,20%,0%,100%,0%,0%,0%,0%,6.3%,9,0.9445,6.7%,0.498,0.63,0.68,0.15,0.770708618222013
2018-02BA CL 7(P1)6,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,6,0%,0%,100%,0%,0%,74%,0%,26%,0%,0%,8.5%,13,0.9445,9.0%,0.444,0.63,0.68,0.42,0.984972481571287
2018-02BA CL 7(P1)7,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,7,79%,0%,0%,21%,0%,88%,0%,8%,4%,0%,15.4%,23,0.9445,16.3%,0.406,0.63,0.68,0.72,1.22327863652202
2018-02BA CL 7(P1)8,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,8,20%,0%,60%,20%,0%,94%,0%,0%,6%,0%,4.6%,7,0.9445,4.9%,0.411,0.63,0.68,0.33,0.944852591173453
2018-02BA CL 7(P1)9,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,9,58%,4%,19%,19%,0%,64%,22%,14%,0%,0%,5.7%,9,0.9445,6.0%,0.521,0.63,0.68,0.47,0.965990329129385
2018-02BA CL 7(P1)10,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,10,48%,24%,24%,5%,0%,80%,0%,18%,2%,0%,6.7%,10,0.9445,7.1%,0.695,0.63,0.68,0.66,0.978449760567283
2018-02BA CL 7(P1)11,01/31/2018,2018-02,BA CL 7(P1),Bosque Alto,Clausura,1,11,60%,0%,20%,20%,0%,78%,0%,6%,16%,0%,6.1%,9,0.9445,6.5%,0.854,0.63,0.68,0.63,0.880567654777701
2018-02BA CL 711,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,1,48%,24%,5%,24%,0%,56%,36%,8%,0%,0%,13.3%,20,0.9445,14.1%,0.071,0.56,0.63,0.02,0.952380952380952
2018-02BA CL 712,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,2,48%,48%,5%,0%,0%,40%,60%,0%,0%,0%,15.8%,24,0.9445,16.7%,0.1,0.56,0.63,0.06,0.966060606060606
2018-02BA CL 713,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,3,20%,60%,20%,0%,0%,92%,0%,8%,0%,0%,14.7%,22,0.9445,15.6%,0.067,0.56,0.63,0.11,1.0367593460377
2018-02BA CL 714,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,4,60%,20%,20%,0%,0%,20%,54%,26%,0%,0%,26.4%,40,0.9445,28.0%,0.347,0.56,0.63,0.05,0.777035387280376
2018-02BA CL 715,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,5,48%,0%,48%,5%,0%,0%,84%,16%,0%,0%,13.6%,20,0.9445,14.4%,0.645,0.56,0.63,0.69,1.02722053360351
2018-02BA CL 716,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,6,48%,24%,24%,5%,0%,60%,36%,4%,0%,0%,15.2%,23,0.9445,16.1%,0.815,0.56,0.63,0.70,0.939332721150903
2018-02BA CL 717,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,7,25%,50%,25%,0%,0%,68%,24%,8%,0%,0%,15.1%,23,0.9445,16.0%,0.727,0.56,0.63,0.85,1.06903429196423
2018-02BA CL 718,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,8,68%,5%,23%,5%,0%,66%,14%,20%,0%,0%,11.8%,18,0.9445,12.5%,0.737,0.56,0.63,0.89,1.08616388409135
2018-02BA CL 719,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,9,68%,5%,23%,5%,0%,92%,0%,6%,2%,0%,14.9%,22,0.9445,15.8%,0.736,0.56,0.63,0.89,1.08806963645673
2018-02BA CL 7110,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,10,95%,5%,0%,0%,0%,100%,0%,0%,0%,0%,12.5%,19,0.9445,13.2%,0.577,0.56,0.63,0.88,1.18903684915099
2018-02BA CL 7111,01/31/2018,2018-02,BA CL 71,Bosque Alto,Clausura,2,11,95%,5%,0%,0%,0%,78%,22%,0%,0%,0%,16.1%,24,0.9445,17.0%,0.416,0.56,0.63,0.91,1.35153797865662
2018-02BA CO 11,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,1,24%,71%,5%,0%,0%,16%,74%,10%,0%,0%,9.9%,15,1.1474,8.6%,0.868,0.74,0.77,0.15,0.614327182492134
2018-02BA CO 12,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,2,5%,24%,24%,48%,0%,20%,48%,22%,10%,0%,10.1%,15,1.1474,8.8%,0.842,0.74,0.77,0.41,0.763130250042138
2018-02BA CO 13,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,3,60%,40%,0%,0%,0%,76%,0%,24%,0%,0%,11.7%,18,1.1474,10.2%,0.195,0.74,0.77,0.56,1.30432155642494
2018-02BA CO 14,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,4,48%,24%,24%,5%,0%,84%,0%,10%,6%,0%,10.7%,16,1.1474,9.3%,0.379,0.74,0.77,0.88,1.36262608545406
2018-02BA CO 15,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,5,58%,4%,19%,19%,0%,86%,0%,6%,8%,0%,10.0%,15,1.1474,8.7%,0.602,0.74,0.77,0.15,0.718585071909211
2018-02BA CO 16,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,6,58%,4%,19%,19%,0%,90%,0%,10%,0%,0%,9.8%,15,1.1474,8.5%,0.478,0.74,0.77,0.42,0.959927309321309
2018-02BA CO 17,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,7,56%,4%,4%,19%,19%,76%,0%,12%,6%,6%,10.8%,16,1.1474,9.4%,0.729,0.74,0.77,0.33,0.76863569643353
2018-02BA CO 18,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,8,58%,0%,38%,4%,0%,74%,0%,26%,0%,0%,10.8%,16,1.1474,9.4%,0.787,0.74,0.77,0.82,1.02070913274572
2018-02BA CO 19,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,9,45%,5%,45%,5%,0%,80%,0%,20%,0%,0%,10.3%,15,1.1474,9.0%,0.809,0.74,0.77,0.91,1.0556922567268
2018-02BA CO 110,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,10,71%,0%,24%,5%,0%,80%,0%,20%,0%,0%,10.8%,16,1.1474,9.4%,0.888,0.74,0.77,0.91,1.01319180994921
2018-02BA CO 111,01/31/2018,2018-02,BA CO 1,Bosque Alto,Continuo,1,11,50%,25%,25%,0%,0%,92%,6%,0%,2%,0%,11.0%,17,1.1474,9.6%,0.903,0.74,0.77,0.40,0.734874253269111
2018-02BA CO 21,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,1,76%,4%,20%,0%,0%,90%,0%,10%,0%,0%,12.1%,18,1.1474,10.5%,0.251,0.61,0.62,0.69,1.35067825136875
2018-02BA CO 22,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,2,48%,48%,0%,5%,0%,36%,64%,0%,0%,0%,12.9%,19,1.1474,11.2%,0.354,0.61,0.62,0.50,1.10473589018455
2018-02BA CO 23,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,3,76%,4%,20%,0%,0%,66%,32%,0%,2%,0%,10.6%,16,1.1474,9.2%,0.572,0.61,0.62,0.35,0.857499968033552
2018-02BA CO 24,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,4,50%,25%,25%,0%,0%,0%,84%,16%,0%,0%,14.6%,22,1.1474,12.7%,0.608,0.61,0.62,0.83,1.13909097727443
2018-02BA CO 25,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,5,48%,5%,48%,0%,0%,84%,0%,16%,0%,0%,13.0%,20,1.1474,11.3%,0.593,0.61,0.62,0.69,1.06306800796197
2018-02BA CO 26,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,6,25%,25%,25%,25%,0%,72%,0%,22%,6%,0%,10.3%,15,1.1474,9.0%,0.52,0.61,0.62,0.54,1.01273913426783
2018-02BA CO 27,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,7,4%,58%,19%,19%,0%,82%,0%,18%,0%,0%,14.0%,21,1.1474,12.2%,0.722,0.61,0.62,0.47,0.85454372131661
2018-02BA CO 28,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,8,24%,5%,71%,0%,0%,90%,0%,10%,0%,0%,11.6%,17,1.1474,10.1%,0.725,0.61,0.62,0.85,1.074697157284
2018-02BA CO 29,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,9,38%,4%,38%,19%,0%,76%,0%,22%,2%,0%,11.4%,17,1.1474,9.9%,0.665,0.61,0.62,0.86,1.11518553729609
2018-02BA CO 210,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,10,25%,25%,25%,25%,0%,74%,0%,26%,0%,0%,15.2%,23,1.1474,13.2%,0.665,0.61,0.62,0.70,1.02061860855831
2018-02BA CO 211,01/31/2018,2018-02,BA CO 2,Bosque Alto,Continuo,2,11,24%,71%,5%,0%,0%,32%,62%,6%,0%,0%,6.8%,10,1.1474,5.9%,0.678,0.61,0.62,0.49,0.889928386469495
2018-02BB CL 26bis1,02/01/2018,2018-02,BB CL 26bis,Bosque Bajo,Clausura,1,1,5%,86%,5%,5%,0%,18%,74%,4%,4%,0%,17.7%,27,1.1198,15.8%,0.853,0.85,0.87,0.55,0.838654886622553
